lemma,pos,change_type,change_result,base_sense,other_sense,counts_before,counts_after
call,VERB,metaphor,gain,lit_call,met_call,"{'lit_call': 29, 'met_call': 0}","{'lit_call': 36, 'met_call': 36}"
small,ADJ,metaphor,gain,lit_small,met_small,"{'lit_small': 70, 'met_small': 0}","{'lit_small': 21, 'met_small': 21}"
long,ADJ,metaphor,gain,lit_long,met_long,"{'lit_long': 25, 'met_long': 0}","{'lit_long': 28, 'met_long': 28}"
place,NOUN,metaphor,gain,lit_place,met_place,"{'lit_place': 35, 'met_place': 0}","{'lit_place': 44, 'met_place': 44}"
come,VERB,metaphor,gain,lit_come,met_come,"{'lit_come': 74, 'met_come': 0}","{'lit_come': 176, 'met_come': 176}"
thing,NOUN,metaphor,gain,lit_thing,met_thing,"{'lit_thing': 25, 'met_thing': 0}","{'lit_thing': 26, 'met_thing': 26}"
put,VERB,metaphor,gain,lit_put,met_put,"{'lit_put': 25, 'met_put': 0}","{'lit_put': 54, 'met_put': 54}"
large,ADJ,metaphor,gain,lit_large,met_large,"{'lit_large': 25, 'met_large': 0}","{'lit_large': 30, 'met_large': 30}"
find,VERB,metaphor,gain,lit_find,met_find,"{'lit_find': 25, 'met_find': 0}","{'lit_find': 48, 'met_find': 48}"
hand,NOUN,metaphor,gain,lit_hand,met_hand,"{'lit_hand': 35, 'met_hand': 0}","{'lit_hand': 34, 'met_hand': 34}"
mean,VERB,metaphor,constant,lit_mean,met_mean,"{'lit_mean': 114, 'met_mean': 20}","{'lit_mean': 114, 'met_mean': 20}"
leave,VERB,metaphor,constant,lit_leave,met_leave,"{'lit_leave': 37, 'met_leave': 23}","{'lit_leave': 37, 'met_leave': 23}"
work,VERB,metaphor,constant,lit_work,met_work,"{'lit_work': 42, 'met_work': 18}","{'lit_work': 42, 'met_work': 18}"
help,VERB,metaphor,constant,lit_help,met_help,"{'lit_help': 30, 'met_help': 10}","{'lit_help': 30, 'met_help': 10}"
system,NOUN,metaphor,constant,lit_system,met_system,"{'lit_system': 54, 'met_system': 19}","{'lit_system': 54, 'met_system': 19}"
tell,VERB,metaphor,constant,lit_tell,met_tell,"{'lit_tell': 96, 'met_tell': 9}","{'lit_tell': 96, 'met_tell': 9}"
give,VERB,metaphor,constant,lit_give,met_give,"{'lit_give': 49, 'met_give': 88}","{'lit_give': 49, 'met_give': 88}"
way,NOUN,metaphor,constant,lit_way,met_way,"{'lit_way': 24, 'met_way': 72}","{'lit_way': 24, 'met_way': 72}"
look,VERB,metaphor,constant,lit_look,met_look,"{'lit_look': 100, 'met_look': 30}","{'lit_look': 100, 'met_look': 30}"
little,ADJ,metaphor,constant,lit_little,met_little,"{'lit_little': 33, 'met_little': 11}","{'lit_little': 33, 'met_little': 11}"
