lemma,pos,change_type,change_result,base_sense,other_sense,counts_before,counts_after
region,NOUN,taxonomy-hypernym,gain,region.n.01,location.n.01,"{'region.n.01': 36, 'location.n.01': 0}","{'region.n.01': 26, 'location.n.01': 26}"
choose,VERB,taxonomy-hypernym,gain,choose.v.01,decide.v.01,"{'choose.v.01': 25, 'decide.v.01': 0}","{'choose.v.01': 52, 'decide.v.01': 52}"
stare,VERB,taxonomy-hypernym,gain,gaze.v.01,look.v.01,"{'gaze.v.01': 25, 'look.v.01': 0}","{'gaze.v.01': 35, 'look.v.01': 35}"
mention,VERB,taxonomy-hypernym,gain,mention.v.01,think_of.v.04,"{'mention.v.01': 28, 'think_of.v.04': 0}","{'mention.v.01': 33, 'think_of.v.04': 33}"
morning,NOUN,taxonomy-hypernym,gain,morning.n.01,time_period.n.01,"{'morning.n.01': 25, 'time_period.n.01': 0}","{'morning.n.01': 46, 'time_period.n.01': 46}"
attempt,VERB,taxonomy-hypernym,gain,try.v.01,act.v.01,"{'try.v.01': 25, 'act.v.01': 0}","{'try.v.01': 18, 'act.v.01': 18}"
discuss,VERB,taxonomy-hypernym,gain,discourse.v.01,cover.v.05,"{'discourse.v.01': 25, 'cover.v.05': 0}","{'discourse.v.01': 25, 'cover.v.05': 25}"
help,VERB,taxonomy-hypernym,gain,help.v.01,support.v.01,"{'help.v.01': 149, 'support.v.01': 0}","{'help.v.01': 26, 'support.v.01': 26}"
improve,VERB,taxonomy-hypernym,gain,better.v.02,change.v.01,"{'better.v.02': 25, 'change.v.01': 0}","{'better.v.02': 39, 'change.v.01': 39}"
eat,VERB,taxonomy-hypernym,gain,eat.v.01,consume.v.02,"{'eat.v.01': 25, 'consume.v.02': 0}","{'eat.v.01': 32, 'consume.v.02': 32}"
existence,NOUN,taxonomy-hypernym,constant,being.n.01,state.n.02,"{'being.n.01': 24, 'state.n.02': 18}","{'being.n.01': 24, 'state.n.02': 18}"
sample,NOUN,taxonomy-hypernym,constant,sample.n.01,example.n.01,"{'sample.n.01': 24, 'example.n.01': 23}","{'sample.n.01': 24, 'example.n.01': 23}"
price,NOUN,taxonomy-hypernym,constant,monetary_value.n.01,value.n.02,"{'monetary_value.n.01': 25, 'value.n.02': 26}","{'monetary_value.n.01': 25, 'value.n.02': 26}"
look_like,VERB,taxonomy-hypernym,constant,look_like.v.01,resemble.v.01,"{'look_like.v.01': 28, 'resemble.v.01': 10}","{'look_like.v.01': 28, 'resemble.v.01': 10}"
fear,NOUN,taxonomy-hypernym,constant,fear.n.01,emotion.n.01,"{'fear.n.01': 30, 'emotion.n.01': 20}","{'fear.n.01': 30, 'emotion.n.01': 20}"
explain,VERB,taxonomy-hypernym,constant,explain.v.01,inform.v.01,"{'explain.v.01': 51, 'inform.v.01': 21}","{'explain.v.01': 51, 'inform.v.01': 21}"
feed,VERB,taxonomy-hypernym,constant,feed.v.01,provide.v.02,"{'feed.v.01': 23, 'provide.v.02': 16}","{'feed.v.01': 23, 'provide.v.02': 16}"
gun,NOUN,taxonomy-hypernym,constant,gun.n.01,weapon.n.01,"{'gun.n.01': 27, 'weapon.n.01': 12}","{'gun.n.01': 27, 'weapon.n.01': 12}"
century,NOUN,taxonomy-hypernym,constant,century.n.01,time_period.n.01,"{'century.n.01': 50, 'time_period.n.01': 22}","{'century.n.01': 50, 'time_period.n.01': 22}"
friend,NOUN,taxonomy-hypernym,constant,friend.n.01,person.n.01,"{'friend.n.01': 40, 'person.n.01': 82}","{'friend.n.01': 40, 'person.n.01': 82}"
