lemma,pos,change_type,change_result,base_sense,other_sense,counts_before,counts_after
shelter,NOUN,taxonomy-hypernym,gain,shelter.n.01,structure.n.01,"{'shelter.n.01': 30, 'structure.n.01': 0}","{'shelter.n.01': 25, 'structure.n.01': 25}"
push,VERB,taxonomy-hypernym,gain,push.v.01,move.v.02,"{'push.v.01': 25, 'move.v.02': 0}","{'push.v.01': 23, 'move.v.02': 23}"
morning,NOUN,taxonomy-hypernym,gain,morning.n.01,time_period.n.01,"{'morning.n.01': 25, 'time_period.n.01': 0}","{'morning.n.01': 47, 'time_period.n.01': 47}"
discuss,VERB,taxonomy-hypernym,gain,discourse.v.01,cover.v.05,"{'discourse.v.01': 25, 'cover.v.05': 0}","{'discourse.v.01': 28, 'cover.v.05': 28}"
sample,NOUN,taxonomy-hypernym,gain,sample.n.01,example.n.01,"{'sample.n.01': 25, 'example.n.01': 0}","{'sample.n.01': 23, 'example.n.01': 23}"
training,NOUN,taxonomy-hypernym,gain,training.n.01,activity.n.01,"{'training.n.01': 27, 'activity.n.01': 0}","{'training.n.01': 40, 'activity.n.01': 40}"
employee,NOUN,taxonomy-hypernym,gain,employee.n.01,worker.n.01,"{'employee.n.01': 29, 'worker.n.01': 0}","{'employee.n.01': 28, 'worker.n.01': 28}"
explain,VERB,taxonomy-hypernym,gain,explain.v.01,inform.v.01,"{'explain.v.01': 62, 'inform.v.01': 0}","{'explain.v.01': 43, 'inform.v.01': 43}"
improve,VERB,taxonomy-hypernym,gain,better.v.02,change.v.01,"{'better.v.02': 25, 'change.v.01': 0}","{'better.v.02': 40, 'change.v.01': 40}"
pay,VERB,taxonomy-hypernym,gain,pay.v.01,give.v.03,"{'pay.v.01': 42, 'give.v.03': 0}","{'pay.v.01': 89, 'give.v.03': 89}"
look_like,VERB,taxonomy-hypernym,constant,look_like.v.01,resemble.v.01,"{'look_like.v.01': 28, 'resemble.v.01': 10}","{'look_like.v.01': 28, 'resemble.v.01': 10}"
encourage,VERB,taxonomy-hypernym,constant,promote.v.01,support.v.01,"{'promote.v.01': 26, 'support.v.01': 13}","{'promote.v.01': 26, 'support.v.01': 13}"
condition,NOUN,taxonomy-hypernym,constant,condition.n.01,state.n.02,"{'condition.n.01': 33, 'state.n.02': 17}","{'condition.n.01': 33, 'state.n.02': 17}"
price,NOUN,taxonomy-hypernym,constant,monetary_value.n.01,value.n.02,"{'monetary_value.n.01': 25, 'value.n.02': 25}","{'monetary_value.n.01': 25, 'value.n.02': 25}"
achieve,VERB,taxonomy-hypernym,constant,achieve.v.01,succeed.v.01,"{'achieve.v.01': 45, 'succeed.v.01': 11}","{'achieve.v.01': 45, 'succeed.v.01': 11}"
fear,NOUN,taxonomy-hypernym,constant,fear.n.01,emotion.n.01,"{'fear.n.01': 30, 'emotion.n.01': 20}","{'fear.n.01': 30, 'emotion.n.01': 20}"
complete,VERB,taxonomy-hypernym,constant,complete.v.01,end.v.02,"{'complete.v.01': 24, 'end.v.02': 18}","{'complete.v.01': 24, 'end.v.02': 18}"
Jew,NOUN,taxonomy-hypernym,constant,jew.n.01,person.n.01,"{'jew.n.01': 27, 'person.n.01': 83}","{'jew.n.01': 27, 'person.n.01': 83}"
feed,VERB,taxonomy-hypernym,constant,feed.v.01,provide.v.02,"{'feed.v.01': 23, 'provide.v.02': 16}","{'feed.v.01': 23, 'provide.v.02': 16}"
price,NOUN,taxonomy-hypernym,constant,monetary_value.n.01,value.n.02,"{'monetary_value.n.01': 25, 'value.n.02': 23}","{'monetary_value.n.01': 25, 'value.n.02': 23}"
