lemma,pos,change_type,change_result,base_sense,other_sense,counts_before,counts_after
system,NOUN,metaphor,gain,lit_system,met_system,"{'lit_system': 69, 'met_system': 0}","{'lit_system': 40, 'met_system': 40}"
help,VERB,metaphor,gain,lit_help,met_help,"{'lit_help': 39, 'met_help': 0}","{'lit_help': 21, 'met_help': 21}"
thing,NOUN,metaphor,gain,lit_thing,met_thing,"{'lit_thing': 25, 'met_thing': 0}","{'lit_thing': 26, 'met_thing': 26}"
give,VERB,metaphor,gain,lit_give,met_give,"{'lit_give': 25, 'met_give': 0}","{'lit_give': 75, 'met_give': 75}"
world,NOUN,metaphor,gain,lit_world,met_world,"{'lit_world': 25, 'met_world': 0}","{'lit_world': 25, 'met_world': 25}"
old,ADJ,metaphor,gain,lit_old,met_old,"{'lit_old': 67, 'met_old': 0}","{'lit_old': 24, 'met_old': 24}"
side,NOUN,metaphor,gain,lit_side,met_side,"{'lit_side': 25, 'met_side': 0}","{'lit_side': 21, 'met_side': 21}"
leave,VERB,metaphor,gain,lit_leave,met_leave,"{'lit_leave': 30, 'met_leave': 0}","{'lit_leave': 45, 'met_leave': 45}"
place,NOUN,metaphor,gain,lit_place,met_place,"{'lit_place': 32, 'met_place': 0}","{'lit_place': 43, 'met_place': 43}"
small,ADJ,metaphor,gain,lit_small,met_small,"{'lit_small': 70, 'met_small': 0}","{'lit_small': 19, 'met_small': 19}"
hand,NOUN,metaphor,constant,lit_hand,met_hand,"{'lit_hand': 33, 'met_hand': 17}","{'lit_hand': 33, 'met_hand': 17}"
way,NOUN,metaphor,constant,lit_way,met_way,"{'lit_way': 24, 'met_way': 76}","{'lit_way': 24, 'met_way': 76}"
call,VERB,metaphor,constant,lit_call,met_call,"{'lit_call': 32, 'met_call': 18}","{'lit_call': 32, 'met_call': 18}"
tell,VERB,metaphor,constant,lit_tell,met_tell,"{'lit_tell': 96, 'met_tell': 10}","{'lit_tell': 96, 'met_tell': 10}"
work,VERB,metaphor,constant,lit_work,met_work,"{'lit_work': 43, 'met_work': 19}","{'lit_work': 43, 'met_work': 19}"
large,ADJ,metaphor,constant,lit_large,met_large,"{'lit_large': 27, 'met_large': 21}","{'lit_large': 27, 'met_large': 21}"
put,VERB,metaphor,constant,lit_put,met_put,"{'lit_put': 39, 'met_put': 41}","{'lit_put': 39, 'met_put': 41}"
find,VERB,metaphor,constant,lit_find,met_find,"{'lit_find': 36, 'met_find': 44}","{'lit_find': 36, 'met_find': 44}"
turn,VERB,metaphor,constant,lit_turn,met_turn,"{'lit_turn': 29, 'met_turn': 23}","{'lit_turn': 29, 'met_turn': 23}"
long,ADJ,metaphor,constant,lit_long,met_long,"{'lit_long': 25, 'met_long': 25}","{'lit_long': 25, 'met_long': 25}"
