sentence_id,word_id,old_lemma,new_lemma
a1e-fragment01_2,,,
a1e-fragment01_4,,,
a1e-fragment01_5,,,
a1e-fragment01_8,,,
a1e-fragment01_9,,,
a1e-fragment01_12,,,
a1e-fragment01_14,,,
a1e-fragment01_16,,,
a1e-fragment01_19,,,
a1e-fragment01_20,,,
a1e-fragment01_22,,,
a1e-fragment01_24,,,
a1e-fragment01_26,,,
a1e-fragment01_28,,,
a1e-fragment01_29,,,
a1e-fragment01_30,,,
a1f-fragment06_145,,,
a1f-fragment07_146,,,
a1f-fragment07_147,,,
a1f-fragment07_149,,,
a1f-fragment08_158,,,
a1f-fragment08_159,,,
a1f-fragment08_161,,,
a1f-fragment09_165,,,
a1f-fragment09_167,,,
a1f-fragment09_168,,,
a1f-fragment09_170,,,
a1f-fragment09_171,,,
a1f-fragment09_173,,,
a1f-fragment10_176,,,
a1f-fragment10_177,,,
a1f-fragment10_179,,,
a1f-fragment11_182,,,
a1f-fragment11_185,,,
a1f-fragment11_186,,,
a1f-fragment11_187,,,
a1f-fragment11_188,,,
a1f-fragment11_191,,,
a1g-fragment26_387,,,
a1g-fragment26_388,,,
a1g-fragment26_389,,,
a1g-fragment26_391,,,
a1g-fragment26_392,,,
a1g-fragment26_395,,,
a1g-fragment26_398,,,
a1g-fragment26_401,,,
a1g-fragment27_405,,,
a1g-fragment27_407,,,
a1g-fragment27_408,,,
a1g-fragment27_409,,,
a1g-fragment27_410,,,
a1g-fragment27_412,,,
a1g-fragment27_416,,,
a1g-fragment27_417,,,
a1g-fragment27_420,,,
a1g-fragment27_422,,,
a1g-fragment27_428,,,
a1h-fragment05_70,,,
a1h-fragment05_76,,,
a1h-fragment05_77,,,
a1h-fragment05_80,,,
a1h-fragment05_83,,,
a1h-fragment05_85,,,
a1h-fragment05_86,,,
a1h-fragment05_91,,,
a1h-fragment05_92,,,
a1h-fragment05_93,,,
a1h-fragment05_95,,,
a1h-fragment05_96,,,
a1h-fragment05_97,,,
a1h-fragment05_98,,,
a1h-fragment05_99,,,
a1h-fragment05_100,,,
a1h-fragment05_105,,,
a1h-fragment05_110,,,
a1h-fragment05_113,,,
a1h-fragment06_117,,,
a1h-fragment06_118,,,
a1h-fragment06_119,,,
a1h-fragment06_120,,,
a1h-fragment06_123,,,
a1h-fragment06_124,,,
a1h-fragment06_125,,,
a1h-fragment06_126,,,
a1h-fragment06_127,,,
a1h-fragment06_130,,,
a1h-fragment06_132,,,
a1h-fragment06_136,,,
a1h-fragment06_139,,,
a1h-fragment06_140,,,
a1h-fragment06_141,,,
a1h-fragment06_143,,,
a1j-fragment33_497,,,
a1j-fragment33_498,,,
a1j-fragment33_503,,,
a1j-fragment33_504,,,
a1j-fragment33_505,,,
a1j-fragment33_507,,,
a1j-fragment33_508,,,
a1j-fragment33_509,,,
a1j-fragment33_510,,,
a1j-fragment33_511,,,
a1j-fragment33_514,,,
a1j-fragment33_515,,,
a1j-fragment33_518,,,
a1j-fragment33_519,,,
a1j-fragment33_521,,,
a1j-fragment33_526,,,
a1j-fragment33_527,,,
a1j-fragment34_536,,,
a1j-fragment34_539,,,
a1j-fragment34_540,,,
a1j-fragment34_543,,,
a1j-fragment34_547,,,
a1j-fragment34_551,,,
a1j-fragment34_552,,,
a1j-fragment34_553,,,
a1k-fragment02_31,,,
a1k-fragment02_33,,,
a1k-fragment02_34,,,
a1k-fragment02_35,,,
a1k-fragment02_36,,,
a1k-fragment02_37,,,
a1k-fragment02_39,,,
a1k-fragment02_40,,,
a1k-fragment02_42,,,
a1k-fragment02_43,,,
a1k-fragment02_47,,,
a1k-fragment02_48,,,
a1k-fragment02_55,,,
a1k-fragment02_56,,,
a1k-fragment02_57,,,
a1k-fragment02_58,,,
a1k-fragment02_60,,,
a1k-fragment02_61,,,
a1k-fragment02_62,,,
a1k-fragment02_63,,,
a1k-fragment02_64,,,
a1k-fragment02_65,,,
a1k-fragment02_69,,,
a1k-fragment02_70,,,
a1k-fragment02_71,,,
a1k-fragment02_73,,,
a1k-fragment02_74,,,
a1k-fragment02_75,,,
a1k-fragment02_76,,,
a1k-fragment02_77,,,
a1k-fragment02_79,,,
a1k-fragment02_80,,,
a1l-fragment01_2,,,
a1l-fragment01_4,,,
a1l-fragment01_5,,,
a1l-fragment01_6,,,
a1l-fragment01_8,,,
a1l-fragment01_9,,,
a1l-fragment01_10,,,
a1l-fragment01_14,,,
a1l-fragment01_19,,,
a1l-fragment01_21,,,
a1l-fragment01_28,,,
a1l-fragment01_29,,,
a1l-fragment01_32,,,
a1l-fragment01_33,,,
a1l-fragment01_39,,,
a1l-fragment01_40,,,
a1l-fragment01_41,,,
a1l-fragment01_43,,,
a1l-fragment01_44,,,
a1l-fragment01_45,,,
a1l-fragment01_47,,,
a1l-fragment01_48,,,
a1l-fragment01_49,,,
