lemma,pos,change_type,change_result,base_sense,other_sense,counts_before,counts_after
friend,NOUN,taxonomy-hypernym,gain,friend.n.01,person.n.01,"{'friend.n.01': 25, 'person.n.01': 0}","{'friend.n.01': 57, 'person.n.01': 57}"
feed,VERB,taxonomy-hypernym,gain,feed.v.01,provide.v.02,"{'feed.v.01': 25, 'provide.v.02': 0}","{'feed.v.01': 22, 'provide.v.02': 22}"
region,NOUN,taxonomy-hypernym,gain,region.n.01,location.n.01,"{'region.n.01': 36, 'location.n.01': 0}","{'region.n.01': 26, 'location.n.01': 26}"
assume,VERB,taxonomy-hypernym,gain,assume.v.01,expect.v.01,"{'assume.v.01': 25, 'expect.v.01': 0}","{'assume.v.01': 42, 'expect.v.01': 42}"
attempt,VERB,taxonomy-hypernym,gain,try.v.01,act.v.01,"{'try.v.01': 25, 'act.v.01': 0}","{'try.v.01': 20, 'act.v.01': 20}"
fill,VERB,taxonomy-hypernym,gain,fill.v.01,change.v.01,"{'fill.v.01': 25, 'change.v.01': 0}","{'fill.v.01': 31, 'change.v.01': 31}"
help,VERB,taxonomy-hypernym,gain,help.v.01,support.v.01,"{'help.v.01': 149, 'support.v.01': 0}","{'help.v.01': 27, 'support.v.01': 27}"
existence,NOUN,taxonomy-hypernym,gain,being.n.01,state.n.02,"{'being.n.01': 25, 'state.n.02': 0}","{'being.n.01': 19, 'state.n.02': 19}"
gun,NOUN,taxonomy-hypernym,gain,gun.n.01,weapon.n.01,"{'gun.n.01': 27, 'weapon.n.01': 0}","{'gun.n.01': 28, 'weapon.n.01': 28}"
attitude,NOUN,taxonomy-hypernym,gain,attitude.n.01,cognition.n.01,"{'attitude.n.01': 25, 'cognition.n.01': 0}","{'attitude.n.01': 36, 'cognition.n.01': 36}"
century,NOUN,taxonomy-hypernym,constant,century.n.01,time_period.n.01,"{'century.n.01': 51, 'time_period.n.01': 50}","{'century.n.01': 51, 'time_period.n.01': 50}"
recommend,VERB,taxonomy-hypernym,constant,recommend.v.01,propose.v.01,"{'recommend.v.01': 24, 'propose.v.01': 39}","{'recommend.v.01': 24, 'propose.v.01': 39}"
announce,VERB,taxonomy-hypernym,constant,announce.v.01,inform.v.01,"{'announce.v.01': 35, 'inform.v.01': 21}","{'announce.v.01': 35, 'inform.v.01': 21}"
eat,VERB,taxonomy-hypernym,constant,eat.v.01,consume.v.02,"{'eat.v.01': 28, 'consume.v.02': 30}","{'eat.v.01': 28, 'consume.v.02': 30}"
mention,VERB,taxonomy-hypernym,constant,mention.v.01,think_of.v.04,"{'mention.v.01': 29, 'think_of.v.04': 16}","{'mention.v.01': 29, 'think_of.v.04': 16}"
shelter,NOUN,taxonomy-hypernym,constant,shelter.n.01,structure.n.01,"{'shelter.n.01': 27, 'structure.n.01': 12}","{'shelter.n.01': 27, 'structure.n.01': 12}"
state,VERB,taxonomy-hypernym,constant,state.v.01,express.v.02,"{'state.v.01': 35, 'express.v.02': 15}","{'state.v.01': 35, 'express.v.02': 15}"
price,NOUN,taxonomy-hypernym,constant,monetary_value.n.01,value.n.02,"{'monetary_value.n.01': 26, 'value.n.02': 25}","{'monetary_value.n.01': 26, 'value.n.02': 25}"
state,VERB,taxonomy-hypernym,constant,state.v.01,express.v.02,"{'state.v.01': 31, 'express.v.02': 14}","{'state.v.01': 31, 'express.v.02': 14}"
condition,NOUN,taxonomy-hypernym,constant,condition.n.01,state.n.02,"{'condition.n.01': 33, 'state.n.02': 10}","{'condition.n.01': 33, 'state.n.02': 10}"
