lemma,pos,change_type,change_result,base_sense,other_sense,counts_before,counts_after
state,VERB,taxonomy-hyponym,gain,state.v.01,announce.v.02,"{'state.v.01': 46, 'announce.v.02': 0}","{'state.v.01': 25, 'announce.v.02': 25}"
individual,NOUN,taxonomy-hyponym,gain,person.n.01,worker.n.01,"{'person.n.01': 25, 'worker.n.01': 0}","{'person.n.01': 23, 'worker.n.01': 23}"
select,VERB,taxonomy-hyponym,gain,choose.v.01,vote.v.01,"{'choose.v.01': 27, 'vote.v.01': 0}","{'choose.v.01': 31, 'vote.v.01': 31}"
existence,NOUN,taxonomy-hyponym,gain,being.n.01,presence.n.01,"{'being.n.01': 25, 'presence.n.01': 0}","{'being.n.01': 19, 'presence.n.01': 19}"
object,NOUN,taxonomy-hyponym,gain,object.n.01,location.n.01,"{'object.n.01': 25, 'location.n.01': 0}","{'object.n.01': 25, 'location.n.01': 25}"
expect,VERB,taxonomy-hyponym,gain,expect.v.01,speculate.v.01,"{'expect.v.01': 164, 'speculate.v.01': 0}","{'expect.v.01': 28, 'speculate.v.01': 28}"
pay,VERB,taxonomy-hyponym,gain,pay.v.01,spend.v.02,"{'pay.v.01': 96, 'spend.v.02': 0}","{'pay.v.01': 39, 'spend.v.02': 39}"
exist,VERB,taxonomy-hyponym,gain,exist.v.01,dwell.v.02,"{'exist.v.01': 56, 'dwell.v.02': 0}","{'exist.v.01': 42, 'dwell.v.02': 42}"
concern,VERB,taxonomy-hyponym,gain,refer.v.02,involve.v.01,"{'refer.v.02': 25, 'involve.v.01': 0}","{'refer.v.02': 31, 'involve.v.01': 31}"
cause,VERB,taxonomy-hyponym,gain,cause.v.01,determine.v.02,"{'cause.v.01': 63, 'determine.v.02': 0}","{'cause.v.01': 41, 'determine.v.02': 41}"
kill,VERB,taxonomy-hyponym,constant,kill.v.01,shoot.v.02,"{'kill.v.01': 42, 'shoot.v.02': 11}","{'kill.v.01': 42, 'shoot.v.02': 11}"
region,NOUN,taxonomy-hyponym,constant,region.n.01,county.n.01,"{'region.n.01': 31, 'county.n.01': 16}","{'region.n.01': 31, 'county.n.01': 16}"
sort,NOUN,taxonomy-hyponym,constant,kind.n.01,type.n.01,"{'kind.n.01': 29, 'type.n.01': 67}","{'kind.n.01': 29, 'type.n.01': 67}"
return,VERB,taxonomy-hyponym,constant,return.v.01,go_home.v.01,"{'return.v.01': 50, 'go_home.v.01': 11}","{'return.v.01': 50, 'go_home.v.01': 11}"
create,VERB,taxonomy-hyponym,constant,make.v.03,construct.v.01,"{'make.v.03': 45, 'construct.v.01': 75}","{'make.v.03': 45, 'construct.v.01': 75}"
achieve,VERB,taxonomy-hyponym,constant,achieve.v.01,reach.v.07,"{'achieve.v.01': 44, 'reach.v.07': 11}","{'achieve.v.01': 44, 'reach.v.07': 11}"
object,NOUN,taxonomy-hyponym,constant,object.n.01,land.n.04,"{'object.n.01': 25, 'land.n.04': 29}","{'object.n.01': 25, 'land.n.04': 29}"
select,VERB,taxonomy-hyponym,constant,choose.v.01,specify.v.02,"{'choose.v.01': 29, 'specify.v.02': 16}","{'choose.v.01': 29, 'specify.v.02': 16}"
concern,VERB,taxonomy-hyponym,constant,refer.v.02,focus_on.v.01,"{'refer.v.02': 26, 'focus_on.v.01': 17}","{'refer.v.02': 26, 'focus_on.v.01': 17}"
expect,VERB,taxonomy-hyponym,constant,expect.v.01,assume.v.01,"{'expect.v.01': 95, 'assume.v.01': 39}","{'expect.v.01': 95, 'assume.v.01': 39}"
