sentence_id,word_id,old_lemma,new_lemma
a1e-fragment01_1,,,
a1e-fragment01_2,,,
a1e-fragment01_3,,,
a1e-fragment01_4,,,
a1e-fragment01_5,,,
a1e-fragment01_7,,,
a1e-fragment01_14,,,
a1e-fragment01_16,,,
a1e-fragment01_18,,,
a1e-fragment01_19,,,
a1e-fragment01_20,,,
a1e-fragment01_25,,,
a1e-fragment01_28,,,
a1f-fragment06_142,,,
a1f-fragment06_143,,,
a1f-fragment06_144,,,
a1f-fragment06_145,,,
a1f-fragment07_146,,,
a1f-fragment07_147,,,
a1f-fragment07_149,,,
a1f-fragment07_150,,,
a1f-fragment07_152,,,
a1f-fragment07_153,,,
a1f-fragment07_154,,,
a1f-fragment07_155,,,
a1f-fragment07_156,,,
a1f-fragment08_160,,,
a1f-fragment08_163,,,
a1f-fragment09_164,,,
a1f-fragment09_165,,,
a1f-fragment09_166,,,
a1f-fragment09_170,,,
a1f-fragment09_172,,,
a1f-fragment09_173,,,
a1f-fragment10_174,,,
a1f-fragment10_175,,,
a1f-fragment10_178,,,
a1f-fragment10_179,,,
a1f-fragment10_181,,,
a1f-fragment11_182,,,
a1f-fragment11_184,,,
a1f-fragment11_185,,,
a1f-fragment11_186,,,
a1f-fragment11_187,,,
a1f-fragment11_188,,,
a1f-fragment11_189,,,
a1f-fragment12_196,,,
a1g-fragment26_390,,,
a1g-fragment26_396,,,
a1g-fragment26_397,,,
a1g-fragment26_398,,,
a1g-fragment26_400,,,
a1g-fragment26_401,,,
a1g-fragment27_406,,,
a1g-fragment27_407,,,
a1g-fragment27_408,,,
a1g-fragment27_409,,,
a1g-fragment27_411,,,
a1g-fragment27_413,,,
a1g-fragment27_415,,,
a1g-fragment27_418,,,
a1g-fragment27_419,,,
a1g-fragment27_422,,,
a1g-fragment27_423,,,
a1g-fragment27_427,,,
a1h-fragment05_73,,,
a1h-fragment05_74,,,
a1h-fragment05_76,,,
a1h-fragment05_78,,,
a1h-fragment05_81,,,
a1h-fragment05_87,,,
a1h-fragment05_91,,,
a1h-fragment05_93,,,
a1h-fragment05_94,,,
a1h-fragment05_97,,,
a1h-fragment05_100,,,
a1h-fragment05_103,,,
a1h-fragment05_106,,,
a1h-fragment05_107,,,
a1h-fragment05_111,,,
