lemma,pos,change_type,change_result,base_sense,other_sense,counts_before,counts_after
Girona,NOUN,metonymy,gain,lit_LOCATION_Girona,met_TEAM_GironaFC,"{'lit_LOCATION_Girona': 61, 'met_TEAM_GironaFC': 0}","{'lit_LOCATION_Girona': 91, 'met_TEAM_GironaFC': 91}"
Aberdeen,NOUN,metonymy,gain,lit_LOCATION_Aberdeen,met_INSTITUTE_UniversityofAberdeen,"{'lit_LOCATION_Aberdeen': 105, 'met_INSTITUTE_UniversityofAberdeen': 0}","{'lit_LOCATION_Aberdeen': 239, 'met_INSTITUTE_UniversityofAberdeen': 239}"
Cork,NOUN,metonymy,gain,lit_LOCATION_CountyCork,met_ARTIFACT_CorkAirport,"{'lit_LOCATION_CountyCork': 80, 'met_ARTIFACT_CorkAirport': 0}","{'lit_LOCATION_CountyCork': 73, 'met_ARTIFACT_CorkAirport': 73}"
Wimbledon,NOUN,metonymy,gain,lit_LOCATION_Wimbledon;London,met_TEAM_AFCWimbledon,"{'lit_LOCATION_Wimbledon;London': 25, 'met_TEAM_AFCWimbledon': 0}","{'lit_LOCATION_Wimbledon;London': 29, 'met_TEAM_AFCWimbledon': 29}"
Zaragoza,NOUN,metonymy,gain,lit_LOCATION_Zaragoza,met_TEAM_RealZaragoza,"{'lit_LOCATION_Zaragoza': 25, 'met_TEAM_RealZaragoza': 0}","{'lit_LOCATION_Zaragoza': 136, 'met_TEAM_RealZaragoza': 136}"
Fukushima,NOUN,metonymy,gain,lit_LOCATION_FukushimaPrefecture,met_ARTIFACT_FukushimaDaiichiNuclearPowerPlant,"{'lit_LOCATION_FukushimaPrefecture': 423, 'met_ARTIFACT_FukushimaDaiichiNuclearPowerPlant': 0}","{'lit_LOCATION_FukushimaPrefecture': 39, 'met_ARTIFACT_FukushimaDaiichiNuclearPowerPlant': 39}"
Graz,NOUN,metonymy,gain,lit_LOCATION_Graz,met_INSTITUTE_GrazUniversityofTechnology,"{'lit_LOCATION_Graz': 385, 'met_INSTITUTE_GrazUniversityofTechnology': 0}","{'lit_LOCATION_Graz': 41, 'met_INSTITUTE_GrazUniversityofTechnology': 41}"
Vincennes,NOUN,metonymy,gain,lit_LOCATION_Vincennes;Indiana,met_INSTITUTE_VincennesUniversity,"{'lit_LOCATION_Vincennes;Indiana': 25, 'met_INSTITUTE_VincennesUniversity': 0}","{'lit_LOCATION_Vincennes;Indiana': 22, 'met_INSTITUTE_VincennesUniversity': 22}"
Kent,NOUN,metonymy,gain,lit_LOCATION_Kent,met_INSTITUTE_UniversityofKent,"{'lit_LOCATION_Kent': 116, 'met_INSTITUTE_UniversityofKent': 0}","{'lit_LOCATION_Kent': 106, 'met_INSTITUTE_UniversityofKent': 106}"
Battersea,NOUN,metonymy,gain,lit_LOCATION_Battersea,met_ARTIFACT_BatterseaPowerStation,"{'lit_LOCATION_Battersea': 25, 'met_ARTIFACT_BatterseaPowerStation': 0}","{'lit_LOCATION_Battersea': 62, 'met_ARTIFACT_BatterseaPowerStation': 62}"
Indiana,NOUN,metonymy,constant,lit_LOCATION_Indiana,met_INSTITUTE_IndianaUniversity,"{'lit_LOCATION_Indiana': 275, 'met_INSTITUTE_IndianaUniversity': 60}","{'lit_LOCATION_Indiana': 275, 'met_INSTITUTE_IndianaUniversity': 60}"
Mysore,NOUN,metonymy,constant,lit_LOCATION_Mysore,met_INSTITUTE_UniversityofMysore,"{'lit_LOCATION_Mysore': 108, 'met_INSTITUTE_UniversityofMysore': 40}","{'lit_LOCATION_Mysore': 108, 'met_INSTITUTE_UniversityofMysore': 40}"
Everglades,NOUN,metonymy,constant,lit_LOCATION_Everglades,met_ARTIFACT_EvergladesNationalPark,"{'lit_LOCATION_Everglades': 25, 'met_ARTIFACT_EvergladesNationalPark': 42}","{'lit_LOCATION_Everglades': 25, 'met_ARTIFACT_EvergladesNationalPark': 42}"
Washington,NOUN,metonymy,constant,lit_LOCATION_Washington;D.C.,met_INSTITUTE_WashingtonStateUniversity,"{'lit_LOCATION_Washington;D.C.': 78, 'met_INSTITUTE_WashingtonStateUniversity': 54}","{'lit_LOCATION_Washington;D.C.': 78, 'met_INSTITUTE_WashingtonStateUniversity': 54}"
Claremont,NOUN,metonymy,constant,lit_LOCATION_Claremont;California,met_INSTITUTE_ClaremontMcKennaCollege,"{'lit_LOCATION_Claremont;California': 99, 'met_INSTITUTE_ClaremontMcKennaCollege': 32}","{'lit_LOCATION_Claremont;California': 99, 'met_INSTITUTE_ClaremontMcKennaCollege': 32}"
Marburg,NOUN,metonymy,constant,lit_LOCATION_Maribor,met_INSTITUTE_UniversityofMarburg,"{'lit_LOCATION_Maribor': 74, 'met_INSTITUTE_UniversityofMarburg': 75}","{'lit_LOCATION_Maribor': 74, 'met_INSTITUTE_UniversityofMarburg': 75}"
Oklahoma,NOUN,metonymy,constant,lit_LOCATION_OklahomaCity,met_INSTITUTE_UniversityofOklahoma,"{'lit_LOCATION_OklahomaCity': 41, 'met_INSTITUTE_UniversityofOklahoma': 138}","{'lit_LOCATION_OklahomaCity': 41, 'met_INSTITUTE_UniversityofOklahoma': 138}"
Irvine,NOUN,metonymy,constant,lit_LOCATION_Irvine;California,met_INSTITUTE_UniversityofCalifornia;Irvine,"{'lit_LOCATION_Irvine;California': 52, 'met_INSTITUTE_UniversityofCalifornia;Irvine': 60}","{'lit_LOCATION_Irvine;California': 52, 'met_INSTITUTE_UniversityofCalifornia;Irvine': 60}"
Bowie,NOUN,metonymy,constant,lit_LOCATION_Bowie;Maryland,met_INSTITUTE_BowieStateUniversity,"{'lit_LOCATION_Bowie;Maryland': 37, 'met_INSTITUTE_BowieStateUniversity': 15}","{'lit_LOCATION_Bowie;Maryland': 37, 'met_INSTITUTE_BowieStateUniversity': 15}"
Hawaii,NOUN,metonymy,constant,lit_LOCATION_Hawaii,met_INSTITUTE_UniversityofHawaiiatManoa,"{'lit_LOCATION_Hawaii': 87, 'met_INSTITUTE_UniversityofHawaiiatManoa': 28}","{'lit_LOCATION_Hawaii': 87, 'met_INSTITUTE_UniversityofHawaiiatManoa': 28}"
