lemma,pos,change_type,change_result,base_sense,other_sense,counts_before,counts_after
object,NOUN,taxonomy-hyponym,gain,object.n.01,land.n.02,"{'object.n.01': 29, 'land.n.02': 0}","{'object.n.01': 21, 'land.n.02': 21}"
cut,VERB,taxonomy-hyponym,gain,cut.v.01,bore.v.02,"{'cut.v.01': 34, 'bore.v.02': 0}","{'cut.v.01': 23, 'bore.v.02': 23}"
state,VERB,taxonomy-hyponym,gain,state.v.01,present.v.02,"{'state.v.01': 46, 'present.v.02': 0}","{'state.v.01': 27, 'present.v.02': 27}"
idea,NOUN,taxonomy-hyponym,gain,idea.n.01,concept.n.01,"{'idea.n.01': 97, 'concept.n.01': 0}","{'idea.n.01': 47, 'concept.n.01': 47}"
create,VERB,taxonomy-hyponym,gain,make.v.03,construct.v.01,"{'make.v.03': 25, 'construct.v.01': 0}","{'make.v.03': 65, 'construct.v.01': 65}"
decide,VERB,taxonomy-hyponym,gain,decide.v.01,measure.v.01,"{'decide.v.01': 84, 'measure.v.01': 0}","{'decide.v.01': 34, 'measure.v.01': 34}"
method,NOUN,taxonomy-hyponym,gain,method.n.01,technique.n.01,"{'method.n.01': 38, 'technique.n.01': 0}","{'method.n.01': 57, 'technique.n.01': 57}"
woman,NOUN,taxonomy-hyponym,gain,woman.n.01,lady.n.01,"{'woman.n.01': 111, 'lady.n.01': 0}","{'woman.n.01': 26, 'lady.n.01': 26}"
person,NOUN,taxonomy-hyponym,gain,person.n.01,black.n.05,"{'person.n.01': 77, 'black.n.05': 0}","{'person.n.01': 21, 'black.n.05': 21}"
select,VERB,taxonomy-hyponym,gain,choose.v.01,adopt.v.01,"{'choose.v.01': 25, 'adopt.v.01': 0}","{'choose.v.01': 31, 'adopt.v.01': 31}"
insist,VERB,taxonomy-hyponym,constant,insist.v.01,assert.v.01,"{'insist.v.01': 29, 'assert.v.01': 14}","{'insist.v.01': 29, 'assert.v.01': 14}"
event,NOUN,taxonomy-hyponym,constant,event.n.01,happening.n.01,"{'event.n.01': 29, 'happening.n.01': 15}","{'event.n.01': 29, 'happening.n.01': 15}"
concern,VERB,taxonomy-hyponym,constant,refer.v.02,apply.v.02,"{'refer.v.02': 28, 'apply.v.02': 15}","{'refer.v.02': 28, 'apply.v.02': 15}"
expect,VERB,taxonomy-hyponym,constant,expect.v.01,speculate.v.01,"{'expect.v.01': 95, 'speculate.v.01': 14}","{'expect.v.01': 95, 'speculate.v.01': 14}"
announce,VERB,taxonomy-hyponym,constant,announce.v.01,report.v.02,"{'announce.v.01': 35, 'report.v.02': 25}","{'announce.v.01': 35, 'report.v.02': 25}"
kill,VERB,taxonomy-hyponym,constant,kill.v.01,shoot.v.02,"{'kill.v.01': 41, 'shoot.v.02': 11}","{'kill.v.01': 41, 'shoot.v.02': 11}"
build,VERB,taxonomy-hyponym,constant,construct.v.01,raise.v.09,"{'construct.v.01': 26, 'raise.v.09': 14}","{'construct.v.01': 26, 'raise.v.09': 14}"
state,VERB,taxonomy-hyponym,constant,state.v.01,note.v.01,"{'state.v.01': 36, 'note.v.01': 49}","{'state.v.01': 36, 'note.v.01': 49}"
object,NOUN,taxonomy-hyponym,constant,object.n.01,land.n.02,"{'object.n.01': 25, 'land.n.02': 10}","{'object.n.01': 25, 'land.n.02': 10}"
expect,VERB,taxonomy-hyponym,constant,expect.v.01,assume.v.01,"{'expect.v.01': 89, 'assume.v.01': 39}","{'expect.v.01': 89, 'assume.v.01': 39}"
