lemma,pos,change_type,change_result,base_sense,other_sense,counts_before,counts_after
determine,VERB,taxonomy-hyponym,gain,determine.v.01,count.v.01,"{'determine.v.01': 80, 'count.v.01': 0}","{'determine.v.01': 22, 'count.v.01': 22}"
pay,VERB,taxonomy-hyponym,gain,pay.v.01,spend.v.02,"{'pay.v.01': 88, 'spend.v.02': 0}","{'pay.v.01': 37, 'spend.v.02': 37}"
select,VERB,taxonomy-hyponym,gain,choose.v.01,vote.v.01,"{'choose.v.01': 29, 'vote.v.01': 0}","{'choose.v.01': 28, 'vote.v.01': 28}"
prevent,VERB,taxonomy-hyponym,gain,prevent.v.01,stop.v.03,"{'prevent.v.01': 31, 'stop.v.03': 0}","{'prevent.v.01': 30, 'stop.v.03': 30}"
event,NOUN,taxonomy-hyponym,gain,event.n.01,happening.n.01,"{'event.n.01': 29, 'happening.n.01': 0}","{'event.n.01': 29, 'happening.n.01': 29}"
person,NOUN,taxonomy-hyponym,gain,person.n.01,jew.n.01,"{'person.n.01': 43, 'jew.n.01': 0}","{'person.n.01': 53, 'jew.n.01': 53}"
existence,NOUN,taxonomy-hyponym,gain,being.n.01,animation.n.01,"{'being.n.01': 25, 'animation.n.01': 0}","{'being.n.01': 18, 'animation.n.01': 18}"
obtain,VERB,taxonomy-hyponym,gain,obtain.v.01,procure.v.01,"{'obtain.v.01': 90, 'procure.v.01': 0}","{'obtain.v.01': 23, 'procure.v.01': 23}"
cut,VERB,taxonomy-hyponym,gain,cut.v.01,bore.v.02,"{'cut.v.01': 33, 'bore.v.02': 0}","{'cut.v.01': 24, 'bore.v.02': 24}"
create,VERB,taxonomy-hyponym,gain,make.v.03,form.v.01,"{'make.v.03': 56, 'form.v.01': 0}","{'make.v.03': 34, 'form.v.01': 34}"
region,NOUN,taxonomy-hyponym,constant,region.n.01,top.n.01,"{'region.n.01': 30, 'top.n.01': 11}","{'region.n.01': 30, 'top.n.01': 11}"
exist,VERB,taxonomy-hyponym,constant,exist.v.01,endanger.v.01,"{'exist.v.01': 49, 'endanger.v.01': 12}","{'exist.v.01': 49, 'endanger.v.01': 12}"
cost,NOUN,taxonomy-hyponym,constant,cost.n.01,payment.n.01,"{'cost.n.01': 36, 'payment.n.01': 15}","{'cost.n.01': 36, 'payment.n.01': 15}"
person,NOUN,taxonomy-hyponym,constant,person.n.01,jew.n.01,"{'person.n.01': 48, 'jew.n.01': 26}","{'person.n.01': 48, 'jew.n.01': 26}"
object,NOUN,taxonomy-hyponym,constant,object.n.01,part.n.02,"{'object.n.01': 25, 'part.n.02': 13}","{'object.n.01': 25, 'part.n.02': 13}"
cause,VERB,taxonomy-hyponym,constant,cause.v.01,determine.v.02,"{'cause.v.01': 51, 'determine.v.02': 10}","{'cause.v.01': 51, 'determine.v.02': 10}"
insist,VERB,taxonomy-hyponym,constant,insist.v.01,assert.v.01,"{'insist.v.01': 29, 'assert.v.01': 14}","{'insist.v.01': 29, 'assert.v.01': 14}"
imagine,VERB,taxonomy-hyponym,constant,imagine.v.01,visualize.v.01,"{'imagine.v.01': 25, 'visualize.v.01': 27}","{'imagine.v.01': 25, 'visualize.v.01': 27}"
create,VERB,taxonomy-hyponym,constant,make.v.03,cause.v.01,"{'make.v.03': 44, 'cause.v.01': 92}","{'make.v.03': 44, 'cause.v.01': 92}"
event,NOUN,taxonomy-hyponym,constant,event.n.01,act.n.02,"{'event.n.01': 29, 'act.n.02': 10}","{'event.n.01': 29, 'act.n.02': 10}"
