sentence_id,word_id,old_lemma,new_lemma
a1e-fragment01_2,,,
a1e-fragment01_3,,,
a1e-fragment01_4,,,
a1e-fragment01_5,,,
a1e-fragment01_7,,,
a1e-fragment01_12,,,
a1e-fragment01_15,,,
a1e-fragment01_17,,,
a1e-fragment01_18,,,
a1e-fragment01_19,,,
a1e-fragment01_20,,,
a1e-fragment01_21,,,
a1e-fragment01_22,,,
a1e-fragment01_25,,,
a1e-fragment01_26,,,
a1e-fragment01_27,,,
a1e-fragment01_28,,,
a1e-fragment01_30,,,
a1f-fragment06_142,,,
a1f-fragment06_143,,,
a1f-fragment07_146,,,
a1f-fragment07_148,,,
a1f-fragment07_149,,,
a1f-fragment07_151,,,
a1f-fragment07_154,,,
a1f-fragment07_156,,,
a1f-fragment08_159,,,
a1f-fragment08_162,,,
a1f-fragment09_165,,,
a1f-fragment09_168,,,
a1f-fragment09_169,,,
a1f-fragment09_170,,,
a1f-fragment09_171,,,
a1f-fragment09_172,,,
a1f-fragment09_173,,,
a1f-fragment10_178,,,
a1f-fragment10_179,,,
a1f-fragment10_180,,,
a1f-fragment11_182,,,
a1f-fragment11_185,,,
a1f-fragment11_192,,,
a1f-fragment11_193,,,
a1f-fragment11_194,,,
a1f-fragment12_195,,,
a1f-fragment12_197,,,
a1f-fragment12_198,,,
a1g-fragment26_389,,,
a1g-fragment26_393,,,
a1g-fragment26_394,,,
a1g-fragment26_398,,,
a1g-fragment26_401,,,
a1g-fragment26_403,,,
a1g-fragment27_407,,,
a1g-fragment27_410,,,
a1g-fragment27_411,,,
a1g-fragment27_413,,,
a1g-fragment27_415,,,
a1g-fragment27_416,,,
a1g-fragment27_417,,,
a1g-fragment27_421,,,
a1g-fragment27_422,,,
a1g-fragment27_424,,,
a1g-fragment27_428,,,
a1h-fragment05_70,,,
a1h-fragment05_72,,,
a1h-fragment05_73,,,
a1h-fragment05_74,,,
a1h-fragment05_75,,,
a1h-fragment05_77,,,
a1h-fragment05_79,,,
a1h-fragment05_80,,,
a1h-fragment05_82,,,
a1h-fragment05_83,,,
a1h-fragment05_86,,,
a1h-fragment05_88,,,
a1h-fragment05_90,,,
a1h-fragment05_95,,,
a1h-fragment05_98,,,
a1h-fragment05_100,,,
a1h-fragment05_102,,,
a1h-fragment05_103,,,
a1h-fragment05_105,,,
a1h-fragment05_106,,,
a1h-fragment05_110,,,
a1h-fragment05_112,,,
a1h-fragment06_114,,,
a1h-fragment06_118,,,
a1h-fragment06_119,,,
a1h-fragment06_121,,,
a1h-fragment06_122,,,
a1h-fragment06_124,,,
a1h-fragment06_127,,,
a1h-fragment06_131,,,
a1h-fragment06_132,,,
a1h-fragment06_134,,,
a1h-fragment06_135,,,
a1h-fragment06_136,,,
a1h-fragment06_138,,,
a1h-fragment06_140,,,
a1h-fragment06_142,,,
a1j-fragment33_494,,,
a1j-fragment33_495,,,
a1j-fragment33_496,,,
a1j-fragment33_497,,,
a1j-fragment33_499,,,
a1j-fragment33_500,,,
a1j-fragment33_501,,,
a1j-fragment33_502,,,
a1j-fragment33_504,,,
a1j-fragment33_509,,,
a1j-fragment33_510,,,
a1j-fragment33_512,,,
a1j-fragment33_513,,,
a1j-fragment33_515,,,
a1j-fragment33_516,,,
a1j-fragment33_519,,,
a1j-fragment33_520,,,
a1j-fragment33_521,,,
a1j-fragment33_524,,,
a1j-fragment33_528,,,
a1j-fragment34_534,,,
a1j-fragment34_535,,,
a1j-fragment34_537,,,
a1j-fragment34_538,,,
a1j-fragment34_540,,,
a1j-fragment34_541,,,
a1j-fragment34_542,,,
a1j-fragment34_543,,,
a1j-fragment34_547,,,
a1j-fragment34_549,,,
a1j-fragment34_550,,,
a1j-fragment34_551,,,
a1j-fragment34_552,,,
a1j-fragment34_554,,,
a1j-fragment34_557,,,
a1j-fragment34_558,,,
a1k-fragment02_28,,,
a1k-fragment02_30,,,
a1k-fragment02_31,,,
a1k-fragment02_32,,,
a1k-fragment02_35,,,
a1k-fragment02_38,,,
a1k-fragment02_39,,,
a1k-fragment02_40,,,
a1k-fragment02_42,,,
a1k-fragment02_44,,,
a1k-fragment02_45,,,
a1k-fragment02_48,,,
a1k-fragment02_49,,,
a1k-fragment02_51,,,
a1k-fragment02_53,,,
a1k-fragment02_54,,,
a1k-fragment02_56,,,
a1k-fragment02_57,,,
a1k-fragment02_58,,,
a1k-fragment02_59,,,
a1k-fragment02_60,,,
a1k-fragment02_62,,,
a1k-fragment02_63,,,
a1k-fragment02_64,,,
a1k-fragment02_67,,,
a1k-fragment02_68,,,
a1k-fragment02_70,,,
a1k-fragment02_71,,,
a1k-fragment02_72,,,
a1k-fragment02_76,,,
a1k-fragment02_77,,,
a1k-fragment02_79,,,
a1k-fragment02_80,,,
a1k-fragment02_81,,,
a1l-fragment01_1,,,
a1l-fragment01_2,,,
a1l-fragment01_3,,,
a1l-fragment01_7,,,
a1l-fragment01_8,,,
a1l-fragment01_10,,,
a1l-fragment01_12,,,
a1l-fragment01_13,,,
a1l-fragment01_15,,,
a1l-fragment01_20,,,
a1l-fragment01_21,,,
a1l-fragment01_25,,,
a1l-fragment01_26,,,
a1l-fragment01_30,,,
a1l-fragment01_31,,,
a1l-fragment01_32,,,
a1l-fragment01_33,,,
a1l-fragment01_37,,,
a1l-fragment01_38,,,
a1l-fragment01_40,,,
a1l-fragment01_43,,,
a1l-fragment01_45,,,
a1l-fragment01_46,,,
a1l-fragment01_47,,,
a1l-fragment01_48,,,
a1l-fragment01_49,,,
a1l-fragment01_50,,,
a1l-fragment01_54,,,
a1m-fragment01_1,,,
a1m-fragment01_3,,,
a1m-fragment01_5,,,
a1m-fragment01_8,,,
a1m-fragment01_13,,,
a1m-fragment01_14,,,
a1m-fragment01_15,,,
a1m-fragment01_19,,,
a1m-fragment01_22,,,
a1m-fragment01_23,,,
a1m-fragment01_25,,,
a1m-fragment01_27,,,
a1m-fragment01_28,,,
a1m-fragment01_30,,,
a1m-fragment01_35,,,
a1m-fragment01_38,,,
a1m-fragment01_40,,,
a1m-fragment01_41,,,
a1m-fragment01_43,,,
a1m-fragment01_44,,,
a1m-fragment01_47,,,
a1m-fragment01_48,,,
a1m-fragment01_49,,,
a1m-fragment01_51,,,
a1m-fragment01_53,,,
a1m-fragment01_59,,,
a1n-fragment09_205,,,
a1n-fragment09_208,,,
a1n-fragment09_210,,,
a1n-fragment09_211,,,
a1n-fragment09_213,,,
a1n-fragment09_214,,,
a1n-fragment09_215,,,
a1n-fragment09_217,,,
a1n-fragment09_219,,,
a1n-fragment09_220,,,
a1n-fragment09_223,,,
a1n-fragment09_224,,,
a1n-fragment09_225,,,
a1n-fragment09_226,,,
a1n-fragment09_227,,,
a1n-fragment09_229,,,
