lemma,pos,change_type,change_result,base_sense,other_sense,counts_before,counts_after
Oswego,NOUN,metonymy,gain,lit_LOCATION_Oswego;NewYork,met_INSTITUTE_StateUniversityofNewYorkatOswego,"{'lit_LOCATION_Oswego;NewYork': 25, 'met_INSTITUTE_StateUniversityofNewYorkatOswego': 0}","{'lit_LOCATION_Oswego;NewYork': 81, 'met_INSTITUTE_StateUniversityofNewYorkatOswego': 81}"
Conn,NOUN,metonymy,gain,lit_LOCATION_Connecticut,met_INSTITUTE_ConnecticutCollege,"{'lit_LOCATION_Connecticut': 55, 'met_INSTITUTE_ConnecticutCollege': 0}","{'lit_LOCATION_Connecticut': 88, 'met_INSTITUTE_ConnecticutCollege': 88}"
Bremen,NOUN,metonymy,gain,lit_LOCATION_Bremen,met_INSTITUTE_UniversityofBremen,"{'lit_LOCATION_Bremen': 96, 'met_INSTITUTE_UniversityofBremen': 0}","{'lit_LOCATION_Bremen': 199, 'met_INSTITUTE_UniversityofBremen': 199}"
Pomona,NOUN,metonymy,gain,lit_LOCATION_Pomona;California,met_INSTITUTE_PomonaCollege,"{'lit_LOCATION_Pomona;California': 25, 'met_INSTITUTE_PomonaCollege': 0}","{'lit_LOCATION_Pomona;California': 46, 'met_INSTITUTE_PomonaCollege': 46}"
Hays,NOUN,metonymy,gain,lit_LOCATION_Hays;Kansas,met_INSTITUTE_FortHaysStateUniversity,"{'lit_LOCATION_Hays;Kansas': 25, 'met_INSTITUTE_FortHaysStateUniversity': 0}","{'lit_LOCATION_Hays;Kansas': 34, 'met_INSTITUTE_FortHaysStateUniversity': 34}"
California,NOUN,metonymy,gain,lit_LOCATION_California,met_INSTITUTE_UniversityofCalifornia,"{'lit_LOCATION_California': 114, 'met_INSTITUTE_UniversityofCalifornia': 0}","{'lit_LOCATION_California': 93, 'met_INSTITUTE_UniversityofCalifornia': 93}"
Birmingham,NOUN,metonymy,gain,lit_LOCATION_Birmingham;Alabama,met_INSTITUTE_UniversityofBirmingham,[],[]
Kosovo,NOUN,metonymy,gain,lit_LOCATION_Kosovo,met_EVENT_KosovoWar,"{'lit_LOCATION_Kosovo': 25, 'met_EVENT_KosovoWar': 0}","{'lit_LOCATION_Kosovo': 99, 'met_EVENT_KosovoWar': 99}"
Birmingham,NOUN,metonymy,gain,lit_LOCATION_Birmingham,met_ARTIFACT_UniversityofBirmingham,[],[]
Glastonbury,NOUN,metonymy,gain,lit_LOCATION_Glastonbury,met_ARTIFACT_GlastonburyAbbey,"{'lit_LOCATION_Glastonbury': 463, 'met_ARTIFACT_GlastonburyAbbey': 0}","{'lit_LOCATION_Glastonbury': 140, 'met_ARTIFACT_GlastonburyAbbey': 140}"
