lemma,pos,change_type,change_result,base_sense,other_sense,counts_before,counts_after
achieve,VERB,taxonomy-hypernym,gain,achieve.v.01,succeed.v.01,"{'achieve.v.01': 67, 'succeed.v.01': 0}","{'achieve.v.01': 25, 'succeed.v.01': 25}"
feed,VERB,taxonomy-hypernym,gain,feed.v.01,provide.v.02,"{'feed.v.01': 25, 'provide.v.02': 0}","{'feed.v.01': 22, 'provide.v.02': 22}"
place,VERB,taxonomy-hypernym,gain,put.v.01,move.v.02,"{'put.v.01': 79, 'move.v.02': 0}","{'put.v.01': 52, 'move.v.02': 52}"
stare,VERB,taxonomy-hypernym,gain,gaze.v.01,look.v.01,"{'gaze.v.01': 25, 'look.v.01': 0}","{'gaze.v.01': 35, 'look.v.01': 35}"
announce,VERB,taxonomy-hypernym,gain,announce.v.01,inform.v.01,"{'announce.v.01': 30, 'inform.v.01': 0}","{'announce.v.01': 42, 'inform.v.01': 42}"
select,VERB,taxonomy-hypernym,gain,choose.v.01,decide.v.01,"{'choose.v.01': 25, 'decide.v.01': 0}","{'choose.v.01': 33, 'decide.v.01': 33}"
state,VERB,taxonomy-hypernym,gain,state.v.01,express.v.02,"{'state.v.01': 39, 'express.v.02': 0}","{'state.v.01': 33, 'express.v.02': 33}"
century,NOUN,taxonomy-hypernym,gain,century.n.01,time_period.n.01,"{'century.n.01': 25, 'time_period.n.01': 0}","{'century.n.01': 76, 'time_period.n.01': 76}"
attempt,VERB,taxonomy-hypernym,gain,try.v.01,act.v.01,"{'try.v.01': 25, 'act.v.01': 0}","{'try.v.01': 20, 'act.v.01': 20}"
fear,NOUN,taxonomy-hypernym,gain,fear.n.01,emotion.n.01,"{'fear.n.01': 25, 'emotion.n.01': 0}","{'fear.n.01': 35, 'emotion.n.01': 35}"
encourage,VERB,taxonomy-hypernym,constant,promote.v.01,support.v.01,"{'promote.v.01': 25, 'support.v.01': 13}","{'promote.v.01': 25, 'support.v.01': 13}"
existence,NOUN,taxonomy-hypernym,constant,being.n.01,state.n.02,"{'being.n.01': 24, 'state.n.02': 17}","{'being.n.01': 24, 'state.n.02': 17}"
mention,VERB,taxonomy-hypernym,constant,mention.v.01,think_of.v.04,"{'mention.v.01': 30, 'think_of.v.04': 16}","{'mention.v.01': 30, 'think_of.v.04': 16}"
Jew,NOUN,taxonomy-hypernym,constant,jew.n.01,person.n.01,"{'jew.n.01': 27, 'person.n.01': 83}","{'jew.n.01': 27, 'person.n.01': 83}"
discuss,VERB,taxonomy-hypernym,constant,discourse.v.01,cover.v.05,"{'discourse.v.01': 25, 'cover.v.05': 28}","{'discourse.v.01': 25, 'cover.v.05': 28}"
training,NOUN,taxonomy-hypernym,constant,training.n.01,activity.n.01,"{'training.n.01': 34, 'activity.n.01': 20}","{'training.n.01': 34, 'activity.n.01': 20}"
training,NOUN,taxonomy-hypernym,constant,training.n.01,activity.n.01,"{'training.n.01': 33, 'activity.n.01': 18}","{'training.n.01': 33, 'activity.n.01': 18}"
feed,VERB,taxonomy-hypernym,constant,feed.v.01,provide.v.02,"{'feed.v.01': 23, 'provide.v.02': 11}","{'feed.v.01': 23, 'provide.v.02': 11}"
achieve,VERB,taxonomy-hypernym,constant,achieve.v.01,succeed.v.01,"{'achieve.v.01': 46, 'succeed.v.01': 12}","{'achieve.v.01': 46, 'succeed.v.01': 12}"
complete,VERB,taxonomy-hypernym,constant,complete.v.01,end.v.02,"{'complete.v.01': 24, 'end.v.02': 17}","{'complete.v.01': 24, 'end.v.02': 17}"
