lemma,pos,change_type,change_result,base_sense,other_sense,counts_before,counts_after
Rochester,NOUN,metonymy,gain,lit_LOCATION_Rochester;NewYork,met_INSTITUTE_UniversityofRochester,"{'lit_LOCATION_Rochester;NewYork': 82, 'met_INSTITUTE_UniversityofRochester': 0}","{'lit_LOCATION_Rochester;NewYork': 101, 'met_INSTITUTE_UniversityofRochester': 101}"
Redland,NOUN,metonymy,gain,lit_LOCATION_Redlands;California,met_INSTITUTE_UniversityofRedlands,"{'lit_LOCATION_Redlands;California': 25, 'met_INSTITUTE_UniversityofRedlands': 0}","{'lit_LOCATION_Redlands;California': 57, 'met_INSTITUTE_UniversityofRedlands': 57}"
Kyoto,NOUN,metonymy,gain,lit_LOCATION_Kyoto,met_INSTITUTE_KyotoUniversity,"{'lit_LOCATION_Kyoto': 153, 'met_INSTITUTE_KyotoUniversity': 0}","{'lit_LOCATION_Kyoto': 247, 'met_INSTITUTE_KyotoUniversity': 247}"
Oregon,NOUN,metonymy,gain,lit_LOCATION_Oregon,met_INSTITUTE_UniversityofOregon,"{'lit_LOCATION_Oregon': 249, 'met_INSTITUTE_UniversityofOregon': 0}","{'lit_LOCATION_Oregon': 87, 'met_INSTITUTE_UniversityofOregon': 87}"
Leicester,NOUN,metonymy,gain,lit_LOCATION_Leicester,met_INSTITUTE_UniversityofLeicester,"{'lit_LOCATION_Leicester': 293, 'met_INSTITUTE_UniversityofLeicester': 0}","{'lit_LOCATION_Leicester': 141, 'met_INSTITUTE_UniversityofLeicester': 141}"
Arkansas,NOUN,metonymy,gain,lit_LOCATION_Arkansas,met_INSTITUTE_UniversityofArkansas,"{'lit_LOCATION_Arkansas': 69, 'met_INSTITUTE_UniversityofArkansas': 0}","{'lit_LOCATION_Arkansas': 77, 'met_INSTITUTE_UniversityofArkansas': 77}"
Norwich,NOUN,metonymy,gain,lit_LOCATION_Norwich,met_INSTITUTE_NorwichUniversity,"{'lit_LOCATION_Norwich': 46, 'met_INSTITUTE_NorwichUniversity': 0}","{'lit_LOCATION_Norwich': 140, 'met_INSTITUTE_NorwichUniversity': 140}"
Lugo,NOUN,metonymy,gain,lit_LOCATION_Lugo,met_TEAM_CDLugo,"{'lit_LOCATION_Lugo': 34, 'met_TEAM_CDLugo': 0}","{'lit_LOCATION_Lugo': 130, 'met_TEAM_CDLugo': 130}"
Pisa,NOUN,metonymy,gain,lit_LOCATION_Pisa,met_INSTITUTE_UniversityofPisa,"{'lit_LOCATION_Pisa': 317, 'met_INSTITUTE_UniversityofPisa': 0}","{'lit_LOCATION_Pisa': 142, 'met_INSTITUTE_UniversityofPisa': 142}"
Darmstadt,NOUN,metonymy,gain,lit_LOCATION_Darmstadt,met_TEAM_SVDarmstadt98,"{'lit_LOCATION_Darmstadt': 139, 'met_TEAM_SVDarmstadt98': 0}","{'lit_LOCATION_Darmstadt': 55, 'met_TEAM_SVDarmstadt98': 55}"
Battersea,NOUN,metonymy,constant,lit_LOCATION_Battersea,met_ARTIFACT_BatterseaPowerStation,"{'lit_LOCATION_Battersea': 44, 'met_ARTIFACT_BatterseaPowerStation': 42}","{'lit_LOCATION_Battersea': 44, 'met_ARTIFACT_BatterseaPowerStation': 42}"
