lemma,pos,change_type,change_result,base_sense,other_sense,counts_before,counts_after
build,VERB,taxonomy-hyponym,gain,construct.v.01,raise.v.09,"{'construct.v.01': 90, 'raise.v.09': 0}","{'construct.v.01': 29, 'raise.v.09': 29}"
expect,VERB,taxonomy-hyponym,gain,expect.v.01,assume.v.01,"{'expect.v.01': 108, 'assume.v.01': 0}","{'expect.v.01': 81, 'assume.v.01': 81}"
state,VERB,taxonomy-hyponym,gain,state.v.01,add.v.02,"{'state.v.01': 25, 'add.v.02': 0}","{'state.v.01': 46, 'add.v.02': 46}"
condition,NOUN,taxonomy-hyponym,gain,condition.n.01,circumstance.n.01,"{'condition.n.01': 39, 'circumstance.n.01': 0}","{'condition.n.01': 30, 'circumstance.n.01': 30}"
pay,VERB,taxonomy-hyponym,gain,pay.v.01,finance.v.01,"{'pay.v.01': 109, 'finance.v.01': 0}","{'pay.v.01': 22, 'finance.v.01': 22}"
individual,NOUN,taxonomy-hyponym,gain,person.n.01,neighbor.n.01,"{'person.n.01': 25, 'neighbor.n.01': 0}","{'person.n.01': 23, 'neighbor.n.01': 23}"
arrive,VERB,taxonomy-hyponym,gain,arrive.v.01,reach.v.02,"{'arrive.v.01': 25, 'reach.v.02': 0}","{'arrive.v.01': 26, 'reach.v.02': 26}"
kind,NOUN,taxonomy-hyponym,gain,kind.n.01,type.n.01,"{'kind.n.01': 25, 'type.n.01': 0}","{'kind.n.01': 90, 'type.n.01': 90}"
object,NOUN,taxonomy-hyponym,gain,object.n.01,location.n.01,"{'object.n.01': 25, 'location.n.01': 0}","{'object.n.01': 23, 'location.n.01': 23}"
create,VERB,taxonomy-hyponym,gain,make.v.03,construct.v.01,"{'make.v.03': 25, 'construct.v.01': 0}","{'make.v.03': 66, 'construct.v.01': 66}"
achieve,VERB,taxonomy-hyponym,constant,achieve.v.01,reach.v.07,"{'achieve.v.01': 43, 'reach.v.07': 12}","{'achieve.v.01': 43, 'reach.v.07': 12}"
place,VERB,taxonomy-hyponym,constant,put.v.01,install.v.01,"{'put.v.01': 64, 'install.v.01': 18}","{'put.v.01': 64, 'install.v.01': 18}"
choose,VERB,taxonomy-hyponym,constant,choose.v.01,specify.v.02,"{'choose.v.01': 38, 'specify.v.02': 15}","{'choose.v.01': 38, 'specify.v.02': 15}"
complete,VERB,taxonomy-hyponym,constant,complete.v.01,carry_through.v.01,"{'complete.v.01': 25, 'carry_through.v.01': 32}","{'complete.v.01': 25, 'carry_through.v.01': 32}"
happen,VERB,taxonomy-hyponym,constant,happen.v.01,come.v.03,"{'happen.v.01': 70, 'come.v.03': 62}","{'happen.v.01': 70, 'come.v.03': 62}"
woman,NOUN,taxonomy-hyponym,constant,woman.n.01,lady.n.01,"{'woman.n.01': 68, 'lady.n.01': 13}","{'woman.n.01': 68, 'lady.n.01': 13}"
existence,NOUN,taxonomy-hyponym,constant,being.n.01,presence.n.01,"{'being.n.01': 22, 'presence.n.01': 13}","{'being.n.01': 22, 'presence.n.01': 13}"
cost,NOUN,taxonomy-hyponym,constant,cost.n.01,expense.n.01,"{'cost.n.01': 36, 'expense.n.01': 12}","{'cost.n.01': 36, 'expense.n.01': 12}"
prevent,VERB,taxonomy-hyponym,constant,prevent.v.01,debar.v.02,"{'prevent.v.01': 31, 'debar.v.02': 16}","{'prevent.v.01': 31, 'debar.v.02': 16}"
place,VERB,taxonomy-hyponym,constant,put.v.01,install.v.01,"{'put.v.01': 61, 'install.v.01': 17}","{'put.v.01': 61, 'install.v.01': 17}"
