lemma,pos,change_type,change_result,base_sense,other_sense,counts_before,counts_after
Rochester,NOUN,metonymy,gain,lit_LOCATION_Rochester;NewYork,met_INSTITUTE_UniversityofRochester,"{'lit_LOCATION_Rochester;NewYork': 77, 'met_INSTITUTE_UniversityofRochester': 0}","{'lit_LOCATION_Rochester;NewYork': 98, 'met_INSTITUTE_UniversityofRochester': 98}"
Akron,NOUN,metonymy,gain,lit_LOCATION_Akron;Ohio,met_INSTITUTE_UniversityofAkron,"{'lit_LOCATION_Akron;Ohio': 48, 'met_INSTITUTE_UniversityofAkron': 0}","{'lit_LOCATION_Akron;Ohio': 101, 'met_INSTITUTE_UniversityofAkron': 101}"
Essex,NOUN,metonymy,gain,lit_LOCATION_Essex,met_INSTITUTE_UniversityofEssex,"{'lit_LOCATION_Essex': 136, 'met_INSTITUTE_UniversityofEssex': 0}","{'lit_LOCATION_Essex': 133, 'met_INSTITUTE_UniversityofEssex': 133}"
Hays,NOUN,metonymy,gain,lit_LOCATION_Hays;Kansas,met_INSTITUTE_FortHaysStateUniversity,"{'lit_LOCATION_Hays;Kansas': 25, 'met_INSTITUTE_FortHaysStateUniversity': 0}","{'lit_LOCATION_Hays;Kansas': 37, 'met_INSTITUTE_FortHaysStateUniversity': 37}"
Dachau,NOUN,metonymy,gain,lit_LOCATION_Dachau,met_ARTIFACT_Dachauconcentrationcamp,"{'lit_LOCATION_Dachau': 25, 'met_ARTIFACT_Dachauconcentrationcamp': 0}","{'lit_LOCATION_Dachau': 70, 'met_ARTIFACT_Dachauconcentrationcamp': 70}"
Michigan,NOUN,metonymy,gain,lit_LOCATION_Michigan,met_INSTITUTE_UniversityofMichigan,"{'lit_LOCATION_Michigan': 60, 'met_INSTITUTE_UniversityofMichigan': 0}","{'lit_LOCATION_Michigan': 108, 'met_INSTITUTE_UniversityofMichigan': 108}"
Irvine,NOUN,metonymy,gain,lit_LOCATION_Irvine;California,met_INSTITUTE_UniversityofCalifornia;Irvine,"{'lit_LOCATION_Irvine;California': 25, 'met_INSTITUTE_UniversityofCalifornia;Irvine': 0}","{'lit_LOCATION_Irvine;California': 81, 'met_INSTITUTE_UniversityofCalifornia;Irvine': 81}"
Dortmund,NOUN,metonymy,gain,lit_LOCATION_Dortmund,met_TEAM_BorussiaDortmund,"{'lit_LOCATION_Dortmund': 25, 'met_TEAM_BorussiaDortmund': 0}","{'lit_LOCATION_Dortmund': 88, 'met_TEAM_BorussiaDortmund': 88}"
Augsburg,NOUN,metonymy,gain,lit_LOCATION_Augsburg,met_TEAM_FCAugsburg,"{'lit_LOCATION_Augsburg': 235, 'met_TEAM_FCAugsburg': 0}","{'lit_LOCATION_Augsburg': 72, 'met_TEAM_FCAugsburg': 72}"
Tenerife,NOUN,metonymy,gain,lit_LOCATION_SantaCruzdeTenerife,met_TEAM_CDTenerife,"{'lit_LOCATION_SantaCruzdeTenerife': 25, 'met_TEAM_CDTenerife': 0}","{'lit_LOCATION_SantaCruzdeTenerife': 51, 'met_TEAM_CDTenerife': 51}"
Berkeley,NOUN,metonymy,constant,lit_LOCATION_Berkeley;California,met_INSTITUTE_UniversityofCalifornia;Berkeley,"{'lit_LOCATION_Berkeley;California': 36, 'met_INSTITUTE_UniversityofCalifornia;Berkeley': 75}","{'lit_LOCATION_Berkeley;California': 36, 'met_INSTITUTE_UniversityofCalifornia;Berkeley': 75}"
Harewood,NOUN,metonymy,constant,lit_LOCATION_Harewood,met_ARTIFACT_HarewoodHouse,"{'lit_LOCATION_Harewood': 28, 'met_ARTIFACT_HarewoodHouse': 23}","{'lit_LOCATION_Harewood': 28, 'met_ARTIFACT_HarewoodHouse': 23}"
Nairobi,NOUN,metonymy,constant,lit_LOCATION_Nairobi,met_INSTITUTE_UniversityofNairobi,"{'lit_LOCATION_Nairobi': 110, 'met_INSTITUTE_UniversityofNairobi': 84}","{'lit_LOCATION_Nairobi': 110, 'met_INSTITUTE_UniversityofNairobi': 84}"
Otago,NOUN,metonymy,constant,lit_LOCATION_Otago,met_INSTITUTE_UniversityofOtago,"{'lit_LOCATION_Otago': 85, 'met_INSTITUTE_UniversityofOtago': 95}","{'lit_LOCATION_Otago': 85, 'met_INSTITUTE_UniversityofOtago': 95}"
Pomona,NOUN,metonymy,constant,lit_LOCATION_Pomona;California,met_INSTITUTE_PomonaCollege,"{'lit_LOCATION_Pomona;California': 46, 'met_INSTITUTE_PomonaCollege': 53}","{'lit_LOCATION_Pomona;California': 46, 'met_INSTITUTE_PomonaCollege': 53}"
Deptford,NOUN,metonymy,constant,lit_LOCATION_Deptford,met_ARTIFACT_DeptfordDockyard,"{'lit_LOCATION_Deptford': 148, 'met_ARTIFACT_DeptfordDockyard': 75}","{'lit_LOCATION_Deptford': 148, 'met_ARTIFACT_DeptfordDockyard': 75}"
Claremont,NOUN,metonymy,constant,lit_LOCATION_Claremont;California,met_INSTITUTE_ClaremontGraduateUniversity,"{'lit_LOCATION_Claremont;California': 71, 'met_INSTITUTE_ClaremontGraduateUniversity': 59}","{'lit_LOCATION_Claremont;California': 71, 'met_INSTITUTE_ClaremontGraduateUniversity': 59}"
Offenbach,NOUN,metonymy,constant,lit_LOCATION_OffenbachamMain,met_TEAM_KickersOffenbach,"{'lit_LOCATION_OffenbachamMain': 42, 'met_TEAM_KickersOffenbach': 33}","{'lit_LOCATION_OffenbachamMain': 42, 'met_TEAM_KickersOffenbach': 33}"
Huelva,NOUN,metonymy,constant,lit_LOCATION_Huelva,met_TEAM_RecreativodeHuelva,"{'lit_LOCATION_Huelva': 43, 'met_TEAM_RecreativodeHuelva': 81}","{'lit_LOCATION_Huelva': 43, 'met_TEAM_RecreativodeHuelva': 81}"
Huelva,NOUN,metonymy,constant,lit_LOCATION_Huelva,met_TEAM_RecreativodeHuelva,"{'lit_LOCATION_Huelva': 43, 'met_TEAM_RecreativodeHuelva': 81}","{'lit_LOCATION_Huelva': 43, 'met_TEAM_RecreativodeHuelva': 81}"
