lemma,pos,change_type,change_result,base_sense,other_sense,counts_before,counts_after
feed,VERB,taxonomy-hypernym,gain,feed.v.01,provide.v.02,"{'feed.v.01': 25, 'provide.v.02': 0}","{'feed.v.01': 21, 'provide.v.02': 21}"
fear,NOUN,taxonomy-hypernym,gain,fear.n.01,emotion.n.01,"{'fear.n.01': 25, 'emotion.n.01': 0}","{'fear.n.01': 36, 'emotion.n.01': 36}"
shelter,NOUN,taxonomy-hypernym,gain,shelter.n.01,structure.n.01,"{'shelter.n.01': 29, 'structure.n.01': 0}","{'shelter.n.01': 25, 'structure.n.01': 25}"
training,NOUN,taxonomy-hypernym,gain,training.n.01,activity.n.01,"{'training.n.01': 27, 'activity.n.01': 0}","{'training.n.01': 43, 'activity.n.01': 43}"
complete,VERB,taxonomy-hypernym,gain,complete.v.01,end.v.02,"{'complete.v.01': 25, 'end.v.02': 0}","{'complete.v.01': 24, 'end.v.02': 24}"
discuss,VERB,taxonomy-hypernym,gain,discourse.v.01,cover.v.05,"{'discourse.v.01': 25, 'cover.v.05': 0}","{'discourse.v.01': 27, 'cover.v.05': 27}"
state,VERB,taxonomy-hypernym,gain,state.v.01,express.v.02,"{'state.v.01': 40, 'express.v.02': 0}","{'state.v.01': 32, 'express.v.02': 32}"
existence,NOUN,taxonomy-hypernym,gain,being.n.01,state.n.02,"{'being.n.01': 25, 'state.n.02': 0}","{'being.n.01': 21, 'state.n.02': 21}"
compare,VERB,taxonomy-hypernym,gain,compare.v.01,analyze.v.01,"{'compare.v.01': 25, 'analyze.v.01': 0}","{'compare.v.01': 31, 'analyze.v.01': 31}"
continue,VERB,taxonomy-hypernym,gain,continue.v.01,act.v.01,"{'continue.v.01': 103, 'act.v.01': 0}","{'continue.v.01': 33, 'act.v.01': 33}"
technique,NOUN,taxonomy-hypernym,constant,technique.n.01,method.n.01,"{'technique.n.01': 28, 'method.n.01': 47}","{'technique.n.01': 28, 'method.n.01': 47}"
improve,VERB,taxonomy-hypernym,constant,better.v.02,change.v.01,"{'better.v.02': 33, 'change.v.01': 37}","{'better.v.02': 33, 'change.v.01': 37}"
announce,VERB,taxonomy-hypernym,constant,announce.v.01,inform.v.01,"{'announce.v.01': 36, 'inform.v.01': 21}","{'announce.v.01': 36, 'inform.v.01': 21}"
choose,VERB,taxonomy-hypernym,constant,choose.v.01,decide.v.01,"{'choose.v.01': 39, 'decide.v.01': 69}","{'choose.v.01': 39, 'decide.v.01': 69}"
employee,NOUN,taxonomy-hypernym,constant,employee.n.01,worker.n.01,"{'employee.n.01': 28, 'worker.n.01': 14}","{'employee.n.01': 28, 'worker.n.01': 14}"
attitude,NOUN,taxonomy-hypernym,constant,attitude.n.01,cognition.n.01,"{'attitude.n.01': 31, 'cognition.n.01': 19}","{'attitude.n.01': 31, 'cognition.n.01': 19}"
gun,NOUN,taxonomy-hypernym,constant,gun.n.01,weapon.n.01,"{'gun.n.01': 27, 'weapon.n.01': 14}","{'gun.n.01': 27, 'weapon.n.01': 14}"
encourage,VERB,taxonomy-hypernym,constant,promote.v.01,support.v.01,"{'promote.v.01': 26, 'support.v.01': 13}","{'promote.v.01': 26, 'support.v.01': 13}"
gun,NOUN,taxonomy-hypernym,constant,gun.n.01,weapon.n.01,"{'gun.n.01': 27, 'weapon.n.01': 13}","{'gun.n.01': 27, 'weapon.n.01': 13}"
improve,VERB,taxonomy-hypernym,constant,better.v.02,change.v.01,"{'better.v.02': 29, 'change.v.01': 36}","{'better.v.02': 29, 'change.v.01': 36}"
