region	0.01144948749789887	27
choose	0.06776084268743432	42
stare	0.00804352035942213	34
mention	0.08935395590992223	41
morning	0.03904255153422298	38
attempt	0.021141403364200895	38
discuss	0.01732579234717302	40
help	0.02030230004162903	39
improve	0.032482156725088585	42
eat	0.009903408561693916	34
existence	0.015369330869847486	36
sample	0.025965356620901603	35
price	0.022422170195076307	39
look_like	0.02076404466678783	38
fear	0.02945934972385522	43
explain	0.01098882148023328	39
feed	0.018881095450189345	39
gun	0.010782011303254069	33
century	0.018445171964507456	31
friend	0.01170228745373525	38
