feed	0.01847097623461702	39
fear	0.016603752308621433	41
shelter	0.04442834953427599	40
training	0.03811635639522826	39
complete	0.07164732032269239	41
discuss	0.028246412082721717	41
state	0.01694223816636098	35
existence	0.015194022963639697	37
compare	0.03419985621202071	37
continue	0.031921674899756725	41
technique	0.008977898664579431	34
improve	0.016681881500791862	39
announce	0.031443379764942936	42
choose	0.019224226544550804	42
employee	0.019243912731079282	37
attitude	0.008387129345428734	39
gun	0.00972334977749889	29
encourage	0.02279484434062229	41
gun	0.00972334977749889	29
improve	0.016681881500791862	39
