Alicante	0.026648750975589386	38
Oklahoma	0.20449453318230693	46
Niagara	0.263754399655696	40
Thun	0.07289503854658286	37
Compostela	0.18090933538558407	45
Lund	0.06630305020907001	36
Kosovo	0.02927524374359647	35
Seville	0.04830218712903345	43
Fullerton	0.01892605678534509	37
Southampton	0.01755824406446793	37
Liverpool	0.010001159677868743	34
Chelsea	0.016965721739069073	38
Oregon	0.0064086088105881345	30
Pomona	0.009139087742856211	37
Dunbar	0.027073881084703655	38
Kent	0.017838760373637408	43
Boulogne	0.003743297616704	32
Connecticut	0.0102975240548423	37
