feed	0.08163631905589264
fear	0.04970973916682586
shelter	0.16771781878030811
training	0.058418345025435525
complete	0.0019052627003365297
discuss	0.06059854522349395
state	0.0002621776222478944
existence	0.14173434620520609
compare	0.06083957376958493
continue	0.059463450475717994
technique	0.052465234822997475
improve	0.021373331746229463
announce	0.009136723390411938
choose	0.004609908349410774
employee	0.07498236816603054
attitude	0.02567072979289209
gun	0.05560301762443731
encourage	0.03385158395091126
